id,name,addressLine1,addressLine2,city,state,zip,contact,phone,fax,email,web,aircraft,course,notes,airport,country,instructors
18,Michael Mancuso Airshows,139 Dawn Drive,,Shirley,NY,11967,Michael Bellenir,631-965-8886,,mike.bellenir@mmairshows.com,www.mmairshows.com,"Extra 300L, Customer owned aircraft","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics",Primary - Unlimited Competition.  Coaching. Critiquing. Warbird checkouts.  Insurance checkouts.,"HWV -- Shirley, NY",USA,"Michael Bellenir: CFI, Michael Mancuso: CFI"
19,Skyline Aviation,11718 Salem Warren Road,PO Box 16,Greenford,OH,44422,Ben Pidgeon,330-332-4400,330-332-0578,salemairpark@yahoo.com,www.salemairpark.com,"Citabria 7ECA, Super Decathlon","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",Basic aerobatics. CFI Spin Endorsement. Parachutes supplied.,"38D -- Salem, OH",USA,John Dye: CFI-A
20,AeroDynamic Aviation,Reid Hillview Airport,2650 Robert Fowler Way,San Jose,CA,95148,Zdravko Podolski,408-251-4939,408-251-4955,info@aerodynamicaviation.com,www.aerodynamicaviation.com,"Citabria 7KCAB, Super Decathlon, Customer's aircraft","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics","Competition training - Primary, Sportman, Intermediate.  Formation. Customer designed program. Solo rental of any aircraft after checkout.","RHV -- San Jose, CA",USA,"Len Von Clemm: CFI, Zdravko Podolski: CFI, Grainne Gilvarry: CFI, Dave Gray: CFI, Jim Grant: CFI, Eric Ruhe: CFI, Erik Schmidt: CFI, Mark Guerrero: CFI, Rimas Viselga: CFI"
21,CP Aviation,830 E. Santa Maria St.  #301,,Santa Paula,CA,93060,Judy Phelps,805-525-2138,805-933-3865,judy@cpaviation.com,www.cpaviation.com,"Pitts S2B, Decathlon, Super Decathlon, Citabria","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",3 module EMT program.  Customer designed programs.,"KSZP -- Santa Paula, CA",USA,"Judy Phelps: MCFI-A, Dianne Williams: CFI, Charlotte Alexander: CFI, Darin Moody: CFI, Jeremy Dempsey: CFI, Mark King: CFI"
23,Bill Cornick Airshows,3283 Sunburst Place,,Thousand Oaks,CA,91360-6391,Bill Cornick,805-492-1066,805-492-7366,akropilot@billcornick.com,www.billcornick.com,"Pitts S-2C, Cessna 140, Customer owned aircraft","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",Primary thru Unlimited.,"CMA -- Thousand Oaks, CA",USA,"Bill Cornick: MCFI-A, ACE"
24,Budd Davisson's Plus 5 / Sport AERO,3536 E. Shangri-la Road,,Phoenix,AZ,85028,Budd Davisson,602-971-3991,602-971-3896,buddairbum@cox.net,www.airbum.com,Pitts S-2A,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Pitts Checkout","High-end accommodations.  Syllabus designed to customer's needs. Pitts & hi-perf taildragger checkouts for all aircraft types. Specialize in landing instruction (narrow/short runways), basic aerobatics. Low time pilots a speciality.","SDL -- Phoenix, AZ",USA,Budd Davisson: CFI
26,Flightlab,421 Beacon Street,,Boston,MA,02115,Bill Crawford,617-680-8581,,crawford.we@gmail.com,www.flightlab.net,"Zlin 242, Airwolf M-26, Marchetti SF260","Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics","Full aerobatics. Complete aerodynamics ground school available including spin dynamics for instructors. Program helps pilots understand aircraft flying qualities, stability and control.","PYM -- Plymouth, MA",USA,Bill Crawford: CFI
28,"Air West Flight Center, Inc.",Longmont Airport,229 Airport Road,Longmont,CO,80503,Larry Kuebrich/Lori Godfrey,303-776-6266,303-776-6288,fbo@airwestflightcenter.com,www.airwestflightcenter.com,"Citabria (2), Super Decathlon","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics",Customer designed training.  Primay thru Unlimited competition training.  Enjoy beautiful Colorado.,"KLMO -- Longmont, CO",USA,"Dick Bevington: CFI, Al Gordon: CFI"
29,Brown Flying School,6898 North Clinton Street,,Terre Haute,IN,47805,Ryan Reeves,812-466-2229,,janice.simon@brownflyingschool.com,www.brownflyingschool.com,Cessna 152 Aerobat,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",Basic Aerobatic course.  Primary.  Affiliated with Indiana State University.,"3I3 -- Terre Haute, IN",USA,Matt Dessuit: CFI
30,"Grayout Aerosports, LLC",14372 Brook Meadow Dr,,McCordsville,IN,46055,Billy Werth,317-379-2622,,billy@grayout.com,www.grayout.com,"2001 Pitts S2C, C-140","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics","Military, competition, and airshow experience ready to help make you the safest and most confident pilot you can be","MQJ -- Indianapolis, IN",USA,"Billy Werth: CFI, John Braddock: CFI, Ryan Maxfield: CFI"
31,Knife Edge Aerobatics,2921 N. Governeour Street,Apt 301,Wichita,KS,67226,Tony Johnstone,316.759.9359,,knifeedgeakro@yahoo.com,,8KCAB-180 Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics","Instruction also available at 1K1 (Stearman Field) 5NE of Wichita KS. In business since 2003, many professional references available upon request.","WLD -- Winfield, KS",USA,Tony Johnstone: MCFI-A
32,"Flying Lemur, Inc.",Potomac Airfield,10300 Glen Way,Fort Washington,MD,20744,Adam Cope,703-623-9445,703-417-3534,N_A_spin@yahoo.com,www.dcaerobatics.com,Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics",CFI Spin Endorsement,"VKX -- Fort Washington, MD",USA,Adam Cope: CFI
33,Gauntlet Warbirds,43W514 US 30,,Sugar Grove,IL,60554,Greg Morris,312-339-6348,,greg@gauntletwarbirds.com,www.GauntletWarbirds.com,"T6, Super Decathlon,  Decathlon, Extra 300, L-39, Stearman, Yak-52, Customer owned aircraft","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",Competition Prep (Primary - Unlimited).  Competition experience. Jet training. Instruction at customer\'s site available. Decathlon solo rental w/checkout.,"ARR -- Sugar Grove, IL",USA,"Greg Morris: CFI, Dan Walton: CFI, Fred Bower: CFI, Vess Velikov: CFI, Dino Tsitsis: CFI, Al Armstrong: CFI, Ted Ribbens: CFI, Doug Tarmichael: CFI"
34,"Southeast Aerosport, LLC",5538 Wishing Star Lane,,Greenacres,FL,33463,Michael Terfehr,954-358-9010,561-423-0800,southeastaerosport@gmail.com,www.southeastaerosport.com,Extra 300,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",Aerobatic Thrill Rides available.  Rear seat dual available!,"LNA -- Lantana, FL",USA,"Robert Ludlam: CFI, Darren Rothell: CFI"
35,"Welkin Aero, Inc.",1725 S. Airport Rd. Suite 7,,Manhattan,KS,66503,Brian Correll,785-317-8120,,brian@welkinaero.com,www.welkinaero.com,Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics",,"KMHK -- Manhattan, KS",USA,Brian Correll: CFI
36,Sport Aerobatics,Buffalo Municipal Airport,1313 County Rd 134,Buffalo,MN,55313,Michael Wiskus,612-812-3873,763-682-1552,akrosmith@aol.com,www.westmetroaviation.com,"Pitts S-2C, 152 Aerobat","Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",Primary thru Advanced aerobatics.  Customer designed course & aircraft.  Michael is a 2004 Advanced Team Member with 8 years of airshow experience.,"KCFE -- Buffalo, MN",USA,Michael Wiskus
39,Sunrise Aviation,19531 Campus Drive,Ste 7,Santa Ana,CA,92707,Michael Church,800-717-4200,,mc@sunriseaviation.com,www.sunriseaviation.com,"Citabria, Decathlon, Pitts S-2B, Extra 300","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout","www.aerobats.com, Part 141 flight training, FAA approved recreational aerobatics, Extra checkout, Instructors Jon Nash, David Smith, Adam Zeeman, Brandon Reed","SNA -- Santa Ana, CA",USA,"Michael Church: MCFI-A, Bill Hill: MCFI-A, Adam Zeeman, David Smith, Jon Nash, Brandon Reed"
40,Great Planes Aerobatics,106 NW Hackberry Street,,Lee\'s Summit,MO,64064,John Morrissey,816-373-8675,,Greatplanes@comcast.net,,Pitts S-2A,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",Aerobatic training camps.  Primary thru Unlimited aerobatics.  Ground critique.  Hangar phone: 816-582-6753.,"3GV -- Grain Valley, MO",USA,"John Morrissey: CFI, Matt Morrissey, Linda Morrissey"
43,West Valley Flying Club,1901 Embarcadero Rd,Suite 100,Palo Alto,CA,94303,Joshua Smith,650-856-2030,650-856-3078,gm@wvfc.org,www.wvfc.org,"Super Decathlon, Citabria","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics",Customer Designed.  Rental available on all aircraft.,"KPAO -- Palo Alto, CA",USA,"Blake Coleman: CFI, Greg Savidge: CFI, Bill Hightower: CFI, Josh Smith: CFI, Cory Lovell: CFI, Lennert Von Clem: CFI, Clark Harrell: CFI"
45,Stewarts Aircraft Service,4925 State Route 42,,Waynesville,OH,45068,"Emerson Stewart, III",513-897-7717,513-897-7717,taildragger@go-concepts.com,www.stewartsaircraft.net,"Citabria, J-3 Cub(2), 7-AC Champ, Pitts S-2A","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",10 hr. basic aerobatics.  10 hr. advanced aerobatics.,"40I -- Waynesville, OH",USA,"Emerson Stewart, III: CFI, Gordon K. Penner: MCFI-A, Brett Hunter: CFI, Joe Smith: CFI, Dave Buchanan: CFI, Mike Stewart: CFI"
46,"Happy Aerobatics, LLC",Sundance Airpark,P.O. Box 50363,Midwest City,OK,73110,Kelly Pietrowicz,405-620-3998,405-733-0440,Kelly151PS@aol.com,www.HappyAerobatics.com,Pitts S-2B,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics",CFI Spin Sign-off.  10 hr. Intro to Aerobatics. Custom Designed Courses.  Aerobatic Thrill Rides.,"HSD -- Yukon, OK",USA,Kelly Pietrowicz: CFI
47,"Aerobatic Company & Flight School, Inc.","10580 N. McCarran Blvd., #115-249",,Reno,NV,89503,Tim Brill,775-329-3366,,tim@aerobaticcompany.com,www.aerobaticcompany.com,"Decathlon, Super Cub, Pitts S-2B","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics",Safety Seminars.  Customer Designed.  Home of IAC Ch. 118.  FAA waivered box on airport.  Tim is an IAC Nat. Judge & a FAASTeam Rep. Matt is an IAC Regional Judge.,"RTS -- Reno, NV",USA,"Tim Brill: MCFI-A, Jake Thomas Porta: CFI, Matthew Brill: CFI, Rich Stowell: MCFI-A, Mike Johnson: CFI"
48,"Aragon Aviation, Inc.",1563 Solano Ave.,#434,Berkeley,CA,94707,Cecilia Aragon,510-527-4466,,aragon@dcai.com,www.dcai.com/flight,"Citabria 7ECA, Citabria KCAB, Super Decathlon, Owner\'s aircraft","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics",3 hr. Safety course.  10 hr. Aerobatic course. Primary thru Unlimited Competition. Customer designed.  Former member of the US Unlimited team.,"KTCY -- Berkeley, CA",USA,Cecilia Aragon: CFI
49,Sewanee Aerobatic School,P.O. Box 3231,,Sewanee,TN,37375,Catherine E. Cavagnaro,931-636-8678,,catherine@aceaerobaticschool.com,www.aceaerobaticschool.com,Cessna Aerobat,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",Aerobatics: 5 hr. ground w/ 5 hr. flight.  Spins: 3 hr. ground w/ 2 hr. flight.,"UOS -- Sewanee, TN",USA,Catherine Cavagnaro: CFI
50,"Harvey & Rihn Aviation, Inc",101 Airport Blvd.,,LaPorte,TX,77571,Randy Young,281-471-1675,281-471-6646,info@harveyrihn.com,www.harveyrihn.com,"Super Decathlon, Extra 300L, Citabria","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",Primary thru Unlimited Competition. Safety Proficiency Training.  Situational Awareness.  Basic CFI Spin Course.  Advanced Spin Course.  Customer Designed Training.,"T41 -- LaPorte, TX",USA,"Debby Rihn-Harvey: CFI, James Wanner: CFI, Randy Young: CFI, Chris Hennington: CFI, Rex Amyx: CFI, James Smolen: CFI, Klayton Kirkland: CFI-A"
51,Aviators Unlimited LLC,24648 Old South Way,,Abingdon,VA,24211,Johnny White,276-614-0412,,Johnny@aviatorsunlimited.us,www.aviatorsunlimited.us,"PITTS S2B, Extra EA300, Piper Cub","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics",Aircraft equipped with in flight and cockpit video,"KVJI -- Abingdon, VA",USA,Johnny White: MCFI
52,Unusual Attitudes Aviation,201 Pitcher St.,,Montgomery,MA,01085,Bob Cipolli,413-862-8049,,cipolli13@verizon.net,,"Decathlon.  Owner-supplied aircraft including Decathlon, Pitts, Eagle, Extra, Yak, Staudacher","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",Unlimited competitor.  FAA Safety Counselor for Wings Seminars on Aerobatics.,"BAF -- Westfield, MA",USA,Bob Cipolli: CFI
53,Rich Stowell Consulting,P.O. Box 1026,,McCall,ID,83638-1026,Rich Stowell,805-218-0161,,rich@richstowell.com,www.richstowell.com,"Citabria, Decathlon, Pitts S-2B, Owner-supplied aircraft","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics","Winter location, generally October through May in California","MYL -- McCall, ID",USA,Rich Stowell: MCFI-A
54,"Four Winds Aviation, Inc.",11137 Deep Canyon Trail,,Frisco,TX,75033,Dave Honaker,469-766-3500,,fourwindsflight@yahoo.com,www.tail-wheel.com,"(2) Super Decathlon 8KCAB, Pitts S2B, Legend Cub, Piper Archer, Piper Warrior","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics","Pitts and Extra 300L checkouts, IAC competition prep and critique, IAC Chapter 24, (4) school instructors hold FAA low level aerobatic waivers, one (1) ACE on staff.  Past five years providing aerobatic training to the US Air Force AMP Program","T31 -- Aero Country, TX",USA,"Dave Honaker: CFI, Charlie Jirik: CFI, ACE, Bill Pappas: CFI, Howard Moore: CFI, Russell Husbands: CFI, Adam Baker: CFI, Eric Forsythe: CFI, Clyde Kesling: CFI"
55,"VOLARE, Inc.",Hickory Regional Airport (KHKY),"2433 1st Street NW, #28",Hickory,NC,28601,Williams Pontel,828-302-3853,,wpontel@gmail.com,www.volareinc.com,Cessna A150L,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",CFI Spin Endorsement,"KHKY -- Hickory, NC",USA,Williams Pontel: CFI
57,Global Flight Research,507 North Hudson Ave,,Sturgeon Bay,WI,,Rob Vuksanovic,920-664-1463,920-746-5582,skyharbourfarm@aol.com,www.globalflightresearch.com,"7KCAB, Beechcraft 33C Bonansa","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics","Aerobatic Aircraft Buyers Agent, Aircraft Delivery.  Rob is an NAAA Appraiser/Buyers Sellers Agent","KSUE -- Sturgeon Bay, WI",USA,Rob Vuksanovic: CFI
58,Morey Airplane Company,8300 Airport Road,,Middleton,WI,53562,Debby Maier,608-836-1711,608-836-6621,dmaier@moreyairport.com,www.moreyairport.com,Cessna 152 Aerobat.,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics",Primary & Sportman aerobatics. Customer designed training.,"C29 -- Middleton, WI",USA,Mark Leonard: CFI
59,Eagle Sport Aviation Club,"1648 Taylor Road, #234",,Port Orange,FL,32128,Jose Rojas,917-304-1534,,pitts@eaglesportaviation.org,www.eaglesport.com,"Pitts S-2B, J3 Cub, Schweizer 2-33 , Schweizer 1-26, ASK 21","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Glider aerobatics",Primary thru Advanced Competition.,"KDED -- DeLand, FL",USA,"Ellie Hagoel: CFI, Mikhael Ponso: CFI, Ryan Waller: CFI, Jose Rojas: CFI, Andrea Luethi: CFI"
60,"BruceAir, LLC",422 West Fulton St,,Seattle,WA,98119,Bruce Williams,206-283-2937,206-283-2937,brucew@bruceair.com,www.bruceair.com,Extra 300L,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, RV aerobatics",Training in Extra 300L available May-September in Seattle.,"BFI -- Seattle, WA",USA,Bruce Williams: CFI
61,"Dent-Air, Ltd.",6 Romar Drive,,Annapolis,MD,21403,Bill Finagin,410-353-2622,,wbfinagin@cs.com,,Pitts S-2C,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",Customer Designed Training.,"ANP -- Annapolis, MD",USA,Bill Finagin: MCFI-A
63,Kaimana Aviation,46-231 Heeia Street,,Kaneohe,HI,96744-4116,Hank Bruckner,808-836-1031,808-836-1031,acrobat@pixi.com,www.kaimanaaviation.com,CAP-10C,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics","Become a better, safer, and more proficient pilot and fly the amazing CAP-10 in beautiful Hawaii. Expert, tailored instruction to meet your specific requirements. Current Low Altitude Waiver (SAC)","HNL -- Honolulu, HI",USA,Hank Bruckner: CFI
64,Everett Flying Services,P.O. Box 1007,,Doylestown,PA,18901,Bruce Everett,215-353-3208,,baeverett@comcast.net,,"Pitts S-2B, Citabria","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics",5 hr/10 hr aerobatic courses.  Competition coaching/critiquing.,"KLOM -- Bluebell, PA",USA,Bruce Everett: CFI
65,"Inverted Horizons, Inc.",1825 Beechnut Rd.,,Northbrook,IL,60062,Michael Vaknin,773-447-0786,847-564-5871,Mvaknin1@comcast.net,,Extra 300L,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics",CFI Applicant's Spin Endorsement.  Primary thru Unlimited Aerobatics.,"KENW -- Kenosha, WI",USA,Michael Vaknin: CFI
66,Harv's Air Aerobatics,Steinbach South Airport,Box 1056,Steinbach,Manitoba,R5G 1M8,Adam Penner,204-326-2434,204-326-4182,info@harvsair.com,www.harvsair.com,"Pitts S-2B, Citabria","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics",Primary thru Advanced aerobatics.  Aerobatic Instructor Course.," -- Steinbach, Manitoba",Canada,"Harv Penner: CFI, Luke Penner: CFI"
67,"Paragon Air Adventures, LLC",34 Gallatin Field Road,,Belgrade,MT,59714,Thomas J. Nagorski,406-388-4158,,takeoff@ParagonAir.com,www.ParagonAir.com,"Instruction in owners aircraft. Experienced in Micco SP26A, Extra 330LT, Super Decathlon, Zlin 242, Great Lakes","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics","Rich Stowell\'Â€Â™s EMT course. Rich Stowell\'s EMT syllabus for upset recovery, stall / spins, and introduction to aerobatics. Also specialize in customized courses to fit client\'sÂ€Â™ needs crafted from 35 yrs of GA flying..","KBZN -- Belgrade/Bozeman, MT",USA,Thomas J. Nagorski: CFI-A
68,Turf Soaring School,8700 W. Carefree Hwy,,Peoria,AZ,85383,Roy M. Coulliette,602-439-3921,623-566-3161,royc@turfsoaring.com,www.turfsoaring.com,"Grob 103A, ASK - 21","Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Glider aerobatics",10 flight basic glider aerobatics.  Custom designed training.  Instructors rated CFI-G. 47 years experience.,"P48 -- Peoria, AZ",USA,"Roy Coulliette: CFI, Rick Brown: CFI, Danny Webber: CFI, Carl Baxter: CFI"
